成语,拼音,翻译,
东张西望,dōng zhāng xī wàng, look in all directions,
一举两得,yī jǔ liǎng dé, one move two gains,
南辕北辙,nán yuán běi zhé, act in a way that defeats one's purpose,
丢三落四,diū sān là sì, forgetful,
千方百计,qiān fāng bǎi jì, by every possible mean,
吞吞吐吐,tūn tūn tǔ tǔ, mumble as if hiding something,
家喻户晓,jiā yù hù xiǎo, well-known,
新陈代谢,xīn chén dài xiè, the new replaces the old (also metabolism),
一丝不苟,yī sī bù gǒu, strictly according to the rules,
川流不息,chuān liú bù xī, unending flow,
一帆风顺,yī fān fēng shùn, propitious wind throughout the journey,
悬崖峭壁,xuán yá qiào bì, sheer cliffs and precipitous rock,
拔苗助长,bá miáo zhù zhǎng, spoil through excessive enthusiasm,
斩钉截铁,zhǎn dīng jié tiě, resolute and decisive,
根深蒂固,gēn shēn dì gù, deep rooted,
滔滔不绝,tāo tāo bù jué, unceasing torrent,
狼吞虎咽,láng tūn hǔ yàn, devour ravenously,
画蛇添足,huà shé tiān zú, ruin the effect by adding something superfluous,
锦上添花,jǐn shàng tiān huā, decorate something already perfect,
雪上加霜,xuě shàng jiā shuāng, one disaster after another,
鸦雀无声,yā què wú shēng, absolute silence,
不可思议,bù kě sī yì, unimaginable,
一目了然,yī mù liǎo rán, obvious at a glance,
不屑一顾,bù xiè yī gù, disdain as beneath contempt,
不择手段,bù zé shǒu duàn, by fair means or foul,
不相上下,bù xiāng shàng xià, equally matched,
不言而喻,bù yán ér yù, it goes without saying,
与日俱增,yǔ rì jù zēng, increase steadily,
举世瞩目,jǔ shì zhǔ mù, receive worldwide attention,
举足轻重,jǔ zú qīng zhòng, play a critical role,
争先恐后,zhēng xiān kǒng hòu, striving to be first fearing to be last,
任重道远,rèn zhòng dào yuǎn, heavy load and long road,
众所周知,zhòng suǒ zhōu zhī, as everyone knows,
优胜劣汰,yōu shèng liè tài, survival of the fittest,
侃侃而谈,kǎn kǎn ér tán, speak frankly with assurance,
供不应求,gōng bù yìng qiú, supply does not meet demand,
兢兢业业,jīng jīng yè yè, cautious and conscientious,
全力以赴,quán lì yǐ fù, do at all costs,
兴致勃勃,xìng zhì bó bó, become exhilarated; in high spirits,
想搞彩烈,xìng gāo cǎi liè, happy and excited; walking on sunshine,
再接再厉,zài jiē zài lì, continue the struggle; persist,
刻不容缓,kè bù róng huǎn, brook no delay; require immediate action,
力所能及,lì suǒ néng jí, to the best of one's abilities,
半途而废,bàn tú ér fèi, give up halfway,
一如既往,yī rú jì wǎng, just as in the past,
薄大精神,bó dà jīng shēn, wide ranging and profound,
各抒己见,gè shū jǐ jiàn, everyone gives their own view,
名副其实,míng fù qí shí, not just in name but in reality,
后顾之忧,hòu gù zhī yōu, family worries,
喜闻乐见,xǐ wén lè jiàn, to love to hear and see,
天伦之乐,tiān lún zhī lè, family love and joy,
实事求是,shí shì qiú shì, seek truth from facts,
小心翼翼,xiǎo xīn yì yì, cautious and solemn,
岂有此理,qǐ yǒu cǐ lǐ, how can this be so,
废寝忘食,fèi qǐn wàng shí, neglect sleep and forget about food,
归根到底,guī gēn dào dǐ, after all,
当务之急,dāng wù zhī jí, top priority job,
得不偿失,dé bù cháng shī, the gains do not make up for the losses,
得天独厚,dé tiān dú hòu, blessed by heaven,
循序渐进,xún xù jiàn jìn, step by step,
心甘情愿,xīng ān qíng yuàn, delighted to,
急于求成,jí yú qiú chéng, anxious for quick results,
急功近利,jí gōng jìn lì, seeking instant benefit,
总而言之,zǒng ér yán zhī, in short,
恍然大悟,huǎng rán dà wù, suddenly realize,
